 LED calibration
Run: 

Gain - PMT gain divided by 10^5
K_adc - conversion factor of MAROC channel (input charge in fC to ADC codes)
1pe, code - single photoelectron amplitude in ADC codes
Rel_sens - relative sensitivity of pixel

Cluster     Channel        Gain       K_adc   1pe, code    Rel_sens
 7        30         0         0     28.99      1.06
 7        31         0         0      1.42      1.06
 7        32         0         0     27.66      1.01
 7        33         0         0      1.31      1.01
 7        34         0         0     27.48      0.88
 7        35         0         0      1.31      0.88
 7        36         0         0     27.44       0.9
 7        37         0         0       1.7       0.9
 7        38         0         0     23.49      1.07
 7        39         0         0      1.31      1.07
 7        40         0         0     23.91      1.14
 7        41         0         0      1.33      1.14
 7        42         0         0     27.99       0.9
 7        43         0         0      1.44       0.9
 7        44         0         0     25.04      1.11
 7        45         0         0      1.07      1.11
 7        46         0         0     27.47      1.07
 7        47         0         0      1.09      1.07
 7        48         0         0     26.91      1.07
 7        49         0         0      1.13      1.07
 7        50         0         0     24.41      1.17
 7        51         0         0      1.26      1.17
 7        52         0         0      23.9      1.13
 7        53         0         0      2.04      1.13
 7        54         0         0     22.12      1.23
 7        55         0         0      1.13      1.23
 7        56         0         0     30.51      0.93
 7        57         0         0      1.29      0.93
 7        58         0         0     38.19      0.68
 7        59         0         0      1.46      0.68
 8         4         0         0     28.37      1.12
 8         5         0         0      1.23      1.12
 8         6         0         0     29.03      1.08
 8         7         0         0      1.32      1.08
 8         8         0         0     27.24      1.04
 8         9         0         0      1.15      1.04
 8        10         0         0      30.6      0.98
 8        11         0         0      1.44      0.98
 8        12         0         0     27.64      1.11
 8        13         0         0       1.5      1.11
 8        14         0         0     25.85      1.07
 8        15         0         0      1.21      1.07
 8        16         0         0     33.27      0.88
 8        17         0         0      1.56      0.88
 8        18         0         0     28.39      0.99
 8        19         0         0      1.79      0.99
 8        20         0         0     29.56      1.03
 8        21         0         0      1.11      1.03
 8        22         0         0     31.31      0.96
 8        23         0         0      0.95      0.96
 8        24         0         0     32.22      0.99
 8        25         0         0      1.39      0.99
 8        26         0         0     28.46      1.09
 8        27         0         0       1.0      1.09
 8        28         0         0     25.64      1.17
 8        29         0         0      1.21      1.17
 8        30         0         0     30.51      0.97
 8        31         0         0      1.21      0.97
 8        32         0         0     25.74      1.13
 8        33         0         0      1.24      1.13
 8        34         0         0      32.9      0.92
 8        35         0         0      1.37      0.92
 8        36         0         0     28.36      1.03
 8        37         0         0      1.58      1.03
 8        38         0         0     27.23       1.1
 8        39         0         0      1.39       1.1
 8        40         0         0     24.61      1.25
 8        41         0         0       0.9      1.25
 8        42         0         0     35.01      0.81
 8        43         0         0      0.99      0.81
 8        44         0         0     29.94      0.95
 8        45         0         0      1.51      0.95
 8        46         0         0      27.5      1.17
 8        47         0         0      1.23      1.17
 8        48         0         0     28.78      1.03
 8        49         0         0      1.41      1.03
 8        50         0         0     27.55      1.01
 8        51         0         0      0.74      1.01
 8        52         0         0      24.4      1.21
 8        53         0         0      1.19      1.21
 8        54         0         0     30.15      1.06
 8        55         0         0      1.33      1.06
 8        56         0         0     29.88      1.04
 8        57         0         0      1.01      1.04
 8        58         0         0     34.81      0.92
 8        59         0         0      1.62      0.92
 9         4         0         0     29.96      0.99
 9         5         0         0      1.25      0.99
 9         6         0         0     30.37      0.98
 9         7         0         0      0.83      0.98
 9         8         0         0     28.84      1.09
 9         9         0         0      1.34      1.09
 9        10         0         0     25.87      1.17
 9        11         0         0      1.44      1.17
 9        12         0         0     28.05      1.05
 9        13         0         0      1.36      1.05
 9        14         0         0     27.05      1.13
 9        15         0         0      1.77      1.13
 9        16         0         0     29.15      0.98
 9        17         0         0      1.31      0.98
 9        18         0         0     29.23      0.96
 9        19         0         0      1.75      0.96
 9        20         0         0     28.38      1.02
 9        21         0         0      1.12      1.02
 9        22         0         0     27.11      1.02
 9        23         0         0      1.27      1.02
 9        24         0         0     27.56      1.08
 9        25         0         0      1.26      1.08
 9        26         0         0     24.99      1.15
 9        27         0         0      1.09      1.15
 9        28         0         0     24.69      1.11
 9        29         0         0       0.8      1.11
 9        30         0         0     29.42      1.05
 9        31         0         0      1.22      1.05
 9        32         0         0     37.05       0.8
 9        33         0         0      1.23       0.8
 9        34         0         0     31.42      0.96
 9        35         0         0      1.32      0.96
 9        36         0         0     32.91      0.91
 9        37         0         0      1.35      0.91
 9        38         0         0     24.48      1.11
 9        39         0         0       1.1      1.11
 9        40         0         0     27.33      1.01
 9        41         0         0      1.25      1.01
 9        42         0         0     28.38      0.94
 9        43         0         0      1.19      0.94
 9        44         0         0     33.27      0.92
 9        45         0         0      1.28      0.92
 9        46         0         0     36.29      0.85
 9        47         0         0      1.63      0.85
 9        48         0         0     31.08      0.98
 9        49         0         0      1.04      0.98
 9        50         0         0     29.47      0.97
 9        51         0         0      1.35      0.97
 9        52         0         0     29.45      1.04
 9        53         0         0      1.14      1.04
 9        54         0         0     29.96      0.98
 9        55         0         0      1.02      0.98
 9        56         0         0     32.65      0.86
 9        57         0         0      1.27      0.86
 9        58         0         0     37.13      0.87
 9        59         0         0      1.61      0.87
10         4         0         0     38.25      0.83
10         5         0         0       1.5      0.83
10         6         0         0     28.38      0.99
10         7         0         0      0.99      0.99
10         8         0         0     30.22      0.93
10         9         0         0      1.46      0.93
10        10         0         0     27.57      1.12
10        11         0         0      1.68      1.12
10        12         0         0     31.89      0.92
10        13         0         0      1.23      0.92
10        14         0         0     27.18      1.03
10        15         0         0       1.2      1.03
10        16         0         0     24.68      1.19
10        17         0         0      1.87      1.19
10        18         0         0     29.94      0.97
10        19         0         0      1.84      0.97
10        20         0         0     29.48      1.04
10        21         0         0      1.41      1.04
10        22         0         0      38.7      0.79
10        23         0         0      1.11      0.79
10        24         0         0     26.66      1.08
10        25         0         0       1.2      1.08
10        26         0         0     24.53      1.23
10        27         0         0      1.18      1.23
10        28         0         0     43.02      0.69
10        29         0         0      1.48      0.69
10        30         0         0     28.12      1.06
10        31         0         0      1.37      1.06
10        32         0         0     33.01      0.93
10        33         0         0      1.43      0.93
10        34         0         0     40.34      0.73
10        35         0         0      1.66      0.73
10        36         0         0     29.56       1.0
10        37         0         0      1.16       1.0
10        38         0         0      32.6      0.83
10        39         0         0      1.74      0.83
10        40         0         0     30.36      1.08
10        41         0         0      1.31      1.08
10        42         0         0     27.09      1.11
10        43         0         0      1.09      1.11
10        44         0         0     38.33      0.84
10        45         0         0      1.49      0.84
10        46         0         0     37.65      0.98
10        47         0         0       2.0      0.98
10        48         0         0     29.27      1.13
10        49         0         0      1.46      1.13
10        50         0         0     38.36      0.84
10        51         0         0      1.93      0.84
10        52         0         0     44.26      0.69
10        53         0         0       2.1      0.69
10        54         0         0     34.02      0.93
10        55         0         0      1.52      0.93
10        56         0         0     34.64      0.94
10        57         0         0      1.44      0.94
10        58         0         0      35.2       0.9
10        59         0         0      1.43       0.9
11         4         0         0     30.14      0.95
11         5         0         0      1.36      0.95
11         6         0         0     28.54      0.97
11         7         0         0      1.64      0.97
11         8         0         0     32.14       0.9
11         9         0         0      1.44       0.9
11        10         0         0     30.23      0.87
11        11         0         0      1.85      0.87
11        12         0         0     34.33      0.84
11        13         0         0      1.52      0.84
11        14         0         0     34.73       0.7
11        15         0         0      1.87       0.7
11        16         0         0     25.41      1.17
11        17         0         0      1.24      1.17
11        18         0         0     28.11       0.9
11        19         0         0      1.63       0.9
11        20         0         0     28.14      1.02
11        21         0         0      1.48      1.02
11        22         0         0     26.45      1.04
11        23         0         0      1.36      1.04
11        24         0         0      30.7       1.0
11        25         0         0      1.37       1.0
11        26         0         0     36.87      0.75
11        27         0         0      2.12      0.75
11        28         0         0     24.98      1.09
11        29         0         0      1.78      1.09
11        30         0         0     31.53      0.92
11        31         0         0      1.42      0.92
11        32         0         0     25.36      1.01
11        33         0         0      1.33      1.01
11        34         0         0     24.37      1.09
11        35         0         0      1.46      1.09
11        36         0         0     26.65      1.05
11        37         0         0      1.64      1.05
11        38         0         0     33.73       0.8
11        39         0         0      1.69       0.8
11        40         0         0     22.76      1.15
11        41         0         0      1.27      1.15
11        42         0         0     27.12      1.02
11        43         0         0      1.56      1.02
11        44         0         0     26.17       1.1
11        45         0         0      1.15       1.1
11        46         0         0     27.73      1.03
11        47         0         0      1.65      1.03
11        48         0         0     27.37      1.05
11        49         0         0      1.53      1.05
11        50         0         0     32.02      0.96
11        51         0         0      1.91      0.96
11        52         0         0     22.06      1.22
11        53         0         0      1.49      1.22
11        54         0         0     25.36       1.0
11        55         0         0      2.06       1.0
11        56         0         0      31.0      0.95
11        57         0         0      1.59      0.95
11        58         0         0     28.86      0.99
11        59         0         0      1.36      0.99
12         4         0         0     25.92       1.0
12         5         0         0      1.11       1.0
12         6         0         0     27.23      0.86
12         7         0         0       1.6      0.86
12         8         0         0     23.96      1.06
12         9         0         0      1.27      1.06
12        10         0         0      27.7      0.88
12        11         0         0      1.49      0.88
12        12         0         0     31.46      0.84
12        13         0         0      1.09      0.84
12        14         0         0     34.45      1.08
12        15         0         0      1.96      1.08
12        16         0         0     24.92      1.08
12        17         0         0      1.12      1.08
12        18         0         0     28.06      0.99
12        19         0         0      1.47      0.99
12        20         0         0     23.19       1.2
12        21         0         0      1.41       1.2
12        22         0         0     23.08      0.78
12        23         0         0       1.1      0.78
12        24         0         0     26.71      0.89
12        25         0         0      1.33      0.89
12        26         0         0     27.62      0.86
12        27         0         0      1.48      0.86
12        28         0         0     29.94      0.89
12        29         0         0      1.45      0.89
12        30         0         0      28.5      1.04
12        31         0         0      1.35      1.04
12        32         0         0     32.43      0.97
12        33         0         0      1.66      0.97
12        34         0         0      34.8      0.83
12        35         0         0      1.66      0.83
12        36         0         0     31.68      0.98
12        37         0         0       1.7      0.98
12        38         0         0     26.34      0.98
12        39         0         0      1.53      0.98
12        40         0         0     26.12      1.16
12        41         0         0      1.34      1.16
12        42         0         0     21.85      1.09
12        43         0         0       1.0      1.09
12        44         0         0     30.11      1.04
12        45         0         0      1.38      1.04
12        46         0         0      49.7      0.61
12        47         0         0      2.33      0.61
12        48         0         0     32.98       0.9
12        49         0         0      1.92       0.9
12        50         0         0     26.55      1.12
12        51         0         0       1.4      1.12
12        52         0         0     25.97      1.02
12        53         0         0      1.19      1.02
12        54         0         0     28.15      0.91
12        55         0         0      1.19      0.91
12        56         0         0     33.96       1.0
12        57         0         0       1.1       1.0
12        58         0         0     30.58      0.76
12        59         0         0      1.69      0.76
13         4         0         0     42.39      0.81
13         5         0         0      1.32      0.81
13         6         0         0     33.88      1.07
13         7         0         0      1.06      1.07
13         8         0         0     30.95      1.06
13         9         0         0      1.15      1.06
13        10         0         0     29.65      1.21
13        11         0         0      1.23      1.21
13        12         0         0     34.22      0.95
13        13         0         0      1.48      0.95
13        14         0         0      31.2      1.07
13        15         0         0      1.13      1.07
13        16         0         0     33.81      0.96
13        17         0         0      2.26      0.96
