cl	ch	pe	sens
8	45	2.90	1.44
8	46	28.03	0.96
8	47	1.29	0.96
8	48	32.83	1.00
8	49	2.83	1.00
8	50	40.60	0.69
8	51	1.78	0.69
8	52	24.55	1.08
8	53	2.22	1.08
8	54	23.45	1.04
8	55	1.64	1.04
8	56	19.99	1.28
8	57	2.31	1.28
8	58	20.85	1.08
8	59	2.47	1.08
9	4	27.67	1.06
9	5	1.68	1.06
9	6	27.39	1.01
9	7	2.69	1.01
9	8	22.11	1.29
9	9	2.08	1.29
9	10	23.87	0.97
9	11	1.08	0.97
9	12	20.89	1.36
9	13	1.55	1.36
9	14	21.95	1.22
9	15	1.71	1.22
9	16	23.51	1.20
9	17	2.35	1.20
9	18	22.46	1.12
9	19	2.29	1.12
9	20	42.15	0.74
9	21	2.47	0.74
9	22	27.64	0.97
9	23	1.69	0.97
9	24	20.92	1.32
9	25	0.96	1.32
9	26	34.85	0.96
9	27	2.79	0.96
9	28	20.80	1.27
9	29	1.86	1.27
9	30	21.72	1.17
9	31	1.26	1.17
9	32	22.61	1.29
9	33	2.36	1.29
9	34	24.08	1.03
9	35	2.54	1.03
9	36	30.35	0.98
9	37	1.51	0.98
9	38	21.76	1.03
9	39	1.75	1.03
9	40	20.48	1.26
9	41	1.79	1.26
9	42	22.60	1.11
9	43	2.07	1.11
9	44	26.57	0.96
9	45	3.42	0.96
9	46	17.83	1.30
9	47	1.22	1.30
9	48	66.48	0.47
9	49	1.96	0.47
9	50	26.92	1.11
9	51	3.16	1.11
9	52	31.27	0.94
9	53	1.32	0.94
9	54	35.04	0.77
9	55	1.40	0.77
9	56	20.74	1.17
9	57	2.64	1.17
9	58	21.70	1.19
9	59	1.72	1.19
10	0	27.13	1.22
10	1	1.86	1.22
10	4	26.96	1.18
10	5	1.32	1.18
10	6	24.60	1.29
10	7	2.50	1.29
10	8	26.86	1.08
10	9	1.72	1.08
10	10	25.81	1.08
10	11	1.58	1.08
10	14	22.51	1.26
10	15	1.50	1.26
10	16	24.32	1.24
10	17	1.74	1.24
10	18	29.56	1.00
10	19	3.10	1.00
10	20	25.29	1.31
10	21	2.85	1.31
10	22	23.36	1.29
10	23	2.07	1.29
10	24	31.31	1.07
10	25	2.05	1.07
10	26	33.39	1.05
10	27	1.52	1.05
10	28	27.81	1.17
10	29	1.90	1.17
10	30	28.50	1.22
10	31	1.72	1.22
10	32	28.56	1.06
10	33	1.25	1.06
10	34	22.60	1.25
10	35	1.06	1.25
10	36	27.37	1.08
10	37	2.29	1.08
10	38	48.58	0.49
10	39	1.23	0.49
10	40	31.24	1.02
10	41	2.77	1.02
10	42	28.36	1.00
10	43	1.29	1.00
10	44	30.30	1.00
10	45	2.14	1.00
10	46	26.83	1.07
10	47	1.96	1.07
10	48	35.83	0.96
10	49	1.59	0.96
10	50	28.74	1.15
10	51	1.63	1.15
10	52	24.57	1.28
10	53	2.04	1.28
10	54	31.77	1.24
10	55	-1.00	1.24
10	56	31.75	0.99
10	57	1.69	0.99
10	58	25.88	1.18
10	59	1.85	1.18
11	4	24.37	1.27
11	5	1.58	1.27
11	6	19.27	1.42
11	7	1.89	1.42
11	8	28.69	0.85
11	9	2.45	0.85
11	10	21.71	1.38
11	11	1.94	1.38
11	12	22.96	1.23
11	13	1.41	1.23
11	14	21.08	1.32
11	15	1.58	1.32
11	16	19.70	1.49
11	17	1.79	1.49
11	18	23.26	1.17
11	19	1.38	1.17
11	20	25.05	1.13
11	21	1.99	1.13
11	22	19.71	1.31
11	23	2.09	1.31
11	24	28.00	1.05
11	25	1.89	1.05
11	26	30.13	1.04
11	27	1.60	1.04
11	28	32.96	0.96
11	29	1.26	0.96
11	30	25.09	1.21
11	31	1.32	1.21
11	32	19.60	1.34
11	33	1.47	1.34
11	34	23.71	1.18
11	35	2.21	1.18
11	36	24.76	1.34
11	37	2.61	1.34
11	38	22.48	1.21
11	39	1.19	1.21
11	40	29.15	0.89
11	41	1.69	0.89
11	42	21.82	1.18
11	43	2.00	1.18
11	44	21.72	1.22
11	45	1.50	1.22
11	46	39.32	0.81
11	47	1.67	0.81
11	48	23.26	1.22
11	49	2.35	1.22
11	50	28.27	1.18
11	51	1.01	1.18
11	52	-1.00	-1.00
11	53	-1.00	-1.00
11	54	22.90	1.20
11	55	1.79	1.20
11	56	25.40	1.12
11	57	3.83	1.12
11	58	26.61	0.99
11	59	1.80	0.99
12	4	23.08	1.41
12	5	2.36	1.41
12	6	26.49	1.32
12	7	3.69	1.32
12	8	32.62	0.96
12	9	1.87	0.96
12	10	26.88	1.11
12	11	1.25	1.11
12	12	26.60	1.29
12	13	1.59	1.29
12	14	27.23	1.05
12	15	1.32	1.05
12	16	30.54	0.90
12	17	1.82	0.90
12	18	22.16	1.35
12	19	1.49	1.35
12	20	39.00	0.80
12	21	2.55	0.80
12	22	25.74	1.24
12	23	1.44	1.24
12	24	31.22	0.98
12	25	2.75	0.98
12	26	55.08	0.72
12	27	1.82	0.72
12	28	34.18	0.75
12	29	0.31	0.75
12	30	37.27	0.93
12	31	1.56	0.93
12	32	25.36	1.21
12	33	1.66	1.21
12	34	26.03	1.05
12	35	1.75	1.05
12	36	26.37	1.24
12	37	4.21	1.24
12	38	43.46	0.50
12	39	1.24	0.50
12	40	26.74	1.36
12	41	1.58	1.36
12	42	24.29	1.17
12	43	1.58	1.17
12	44	67.07	0.52
12	45	2.17	0.52
12	46	28.45	1.22
12	47	1.69	1.22
12	48	64.70	0.40
12	49	0.79	0.40
12	50	29.10	0.98
12	51	1.85	0.98
12	52	47.89	0.68
12	53	1.76	0.68
12	54	36.22	0.88
12	55	1.31	0.88
12	56	26.07	1.28
12	57	3.25	1.28
12	58	28.70	0.90
12	59	2.48	0.90
13	4	33.63	0.89
13	5	2.01	0.89
13	6	26.03	1.00
13	7	1.26	1.00
13	8	27.22	0.87
13	9	2.45	0.87
13	10	29.00	0.80
13	11	2.11	0.80
13	12	24.13	1.18
13	13	1.92	1.18
13	14	22.16	1.23
13	15	1.44	1.23
13	16	20.75	1.18
13	17	1.38	1.18
13	18	23.15	1.05
13	19	1.95	1.05
13	20	29.31	0.97
13	21	1.14	0.97
13	22	24.97	1.01
13	23	1.86	1.01
13	24	41.17	0.68
13	25	1.23	0.68
13	26	22.30	1.19
13	27	1.34	1.19
13	28	28.18	0.87
13	29	2.81	0.87
13	30	33.88	0.96
13	31	1.30	0.96
13	32	24.25	0.92
13	33	1.80	0.92
13	34	23.12	1.31
13	35	1.70	1.31
13	36	26.03	1.02
13	37	2.22	1.02
13	38	24.95	1.29
13	39	3.13	1.29
13	40	28.99	0.82
13	41	1.75	0.82
13	42	23.82	1.18
13	43	2.40	1.18
13	44	31.13	0.87
13	45	2.22	0.87
13	46	33.81	0.86
13	47	1.50	0.86
13	48	26.80	0.99
13	49	2.03	0.99
13	50	42.49	0.82
13	51	1.35	0.82
13	52	24.31	1.03
13	53	1.74	1.03
13	54	24.21	1.18
13	55	1.64	1.18
13	56	31.28	0.80
13	57	1.73	0.80
13	58	21.27	1.29
13	59	0.91	1.29
14	2	20.33	1.15
14	3	2.20	1.15
14	4	23.82	1.14
14	5	3.26	1.14
14	6	33.59	0.78
14	7	2.38	0.78
14	8	34.33	0.61
14	9	1.44	0.61
14	10	33.18	0.73
14	11	2.23	0.73
14	12	23.05	1.06
14	13	2.25	1.06
14	14	20.87	1.08
14	15	2.23	1.08
14	16	30.90	0.81
14	17	2.03	0.81
14	18	24.09	0.87
14	19	1.97	0.87
14	20	25.89	0.97
14	21	1.43	0.97
14	24	26.57	1.01
14	25	2.61	1.01
14	26	24.57	1.09
14	27	1.86	1.09
14	28	37.14	0.79
14	29	2.78	0.79
14	30	31.06	0.84
14	31	1.91	0.84
14	32	26.31	0.89
14	33	0.96	0.89
14	34	27.29	0.87
14	35	1.75	0.87
14	36	25.26	0.97
14	37	2.11	0.97
14	38	21.75	1.24
14	39	1.62	1.24
14	40	19.40	1.34
14	41	2.67	1.34
14	42	24.27	0.96
14	43	1.86	0.96
14	44	24.73	1.06
14	45	1.52	1.06
14	46	25.23	1.06
14	47	1.84	1.06
14	48	38.22	0.81
14	49	1.90	0.81
14	50	23.30	1.07
14	51	1.86	1.07
14	52	24.88	1.03
14	53	1.77	1.03
14	54	23.22	1.09
14	55	1.72	1.09
14	56	28.16	0.79
14	57	2.14	0.79
14	58	26.49	0.92
14	59	2.01	0.92
15	4	28.90	0.89
15	5	2.32	0.89
15	6	31.02	0.86
15	7	1.46	0.86
15	8	25.61	0.95
15	9	1.57	0.95
15	10	21.75	1.11
15	11	1.73	1.11
15	12	22.56	1.06
15	13	2.93	1.06
15	14	28.05	0.83
15	15	1.58	0.83
15	16	22.64	1.16
15	17	2.26	1.16
15	18	27.28	0.87
15	19	2.27	0.87
15	20	22.94	1.11
15	21	1.90	1.11
15	22	30.47	0.91
15	23	2.43	0.91
15	24	36.18	0.56
15	25	0.44	0.56
15	26	29.97	0.96
15	27	2.28	0.96
15	28	28.94	0.92
15	29	1.61	0.92
15	30	20.01	1.19
15	31	2.78	1.19
15	32	25.67	1.05
15	33	1.59	1.05
15	34	32.16	0.66
15	35	2.94	0.66
15	36	26.47	0.86
15	37	2.46	0.86
15	38	21.04	1.34
15	39	1.96	1.34
15	40	22.86	1.05
15	41	1.94	1.05
15	42	27.28	0.93
15	43	2.29	0.93
15	44	27.20	0.98
15	45	1.66	0.98
15	46	29.23	1.01
15	47	2.96	1.01
15	48	31.33	0.97
15	49	2.35	0.97
15	50	38.21	0.69
15	51	3.39	0.69
15	52	24.70	1.11
15	53	1.73	1.11
15	54	45.70	0.61
15	55	0.88	0.61
15	56	25.44	0.98
15	57	2.63	0.98
15	58	33.00	0.79
15	59	2.66	0.79
16	4	31.17	0.85
16	5	2.21	0.85
16	6	27.04	1.00
16	7	2.69	1.00
16	8	26.45	0.94
16	9	1.93	0.94
16	10	-1.00	-1.00
16	11	-1.00	-1.00
16	12	22.21	1.12
16	13	1.92	1.12
16	14	21.29	1.29
16	15	2.40	1.29
16	16	22.21	1.13
16	17	3.12	1.13
16	18	18.04	1.45
16	19	1.86	1.45
16	20	23.66	1.02
16	21	2.52	1.02
16	22	30.44	0.93
16	23	4.25	0.93
16	24	34.93	0.84
16	25	1.79	0.84
16	26	25.05	1.13
16	27	2.84	1.13
16	28	21.44	1.16
16	29	1.66	1.16
16	30	24.33	1.13
16	31	2.02	1.13
16	32	25.50	0.90
16	33	2.41	0.90
16	34	23.24	1.11
16	35	3.33	1.11
16	36	26.17	0.96
16	37	2.68	0.96
16	38	25.68	0.97
16	39	2.74	0.97
16	40	20.83	1.17
16	41	1.94	1.17
16	42	22.13	1.16
16	43	3.64	1.16
16	44	35.62	0.72
16	45	2.21	0.72
16	46	32.39	0.83
16	47	1.90	0.83
16	48	53.00	0.61
16	49	1.78	0.61
16	50	22.75	1.09
16	51	1.19	1.09
16	52	26.46	0.96
16	53	2.05	0.96
16	54	47.60	0.57
16	55	1.23	0.57
16	56	25.52	0.94
16	57	3.17	0.94
16	58	28.35	0.97
16	59	2.93	0.97
17	2	28.64	0.90
17	3	2.25	0.90
17	4	29.22	0.81
17	5	2.46	0.81
17	6	22.04	1.05
17	7	3.37	1.05
17	8	18.41	1.19
17	9	1.79	1.19
17	10	24.43	0.83
17	11	2.12	0.83
17	12	29.58	0.67
17	13	3.26	0.67
17	14	17.99	1.17
17	15	2.21	1.17
17	16	23.63	0.93
17	17	1.79	0.93
17	18	22.44	1.01
17	19	2.69	1.01
17	20	22.78	1.06
17	21	2.90	1.06
17	24	41.72	0.73
17	25	2.29	0.73
17	26	32.44	0.80
17	27	1.80	0.80
17	28	21.51	1.00
17	29	2.92	1.00
17	30	43.72	0.49
17	31	0.91	0.49
17	32	18.68	1.23
17	33	2.29	1.23
17	34	21.48	1.02
17	35	1.92	1.02
17	36	23.27	0.89
17	37	2.21	0.89
17	38	33.05	0.61
17	39	3.25	0.61
17	40	26.58	0.90
17	41	1.77	0.90
17	42	29.07	0.78
17	43	2.85	0.78
17	44	24.69	0.99
17	45	2.04	0.99
17	46	41.49	0.62
17	47	3.21	0.62
17	48	23.56	1.06
17	49	1.69	1.06
17	50	66.33	0.41
17	51	1.44	0.41
17	52	24.91	0.90
17	53	1.63	0.90
17	54	22.09	0.99
17	55	3.08	0.99
17	56	25.75	0.81
17	57	2.22	0.81
17	58	34.45	0.63
17	59	2.57	0.63
18	4	37.13	0.56
18	5	0.88	0.56
18	6	25.18	1.06
18	7	2.38	1.06
18	8	23.91	1.30
18	9	2.76	1.30
18	10	36.90	0.76
18	11	2.69	0.76
18	12	28.67	0.93
18	13	2.10	0.93
18	14	29.47	0.89
18	15	1.49	0.89
18	16	27.25	1.07
18	17	1.57	1.07
18	18	24.11	1.08
18	19	2.16	1.08
18	20	27.71	1.06
18	21	1.49	1.06
18	22	23.09	1.23
18	23	3.38	1.23
18	24	30.05	1.00
18	25	2.04	1.00
18	26	42.41	0.68
18	27	1.91	0.68
18	28	30.40	0.97
18	29	1.62	0.97
18	30	36.08	0.83
18	31	2.09	0.83
18	32	22.98	1.16
18	33	3.04	1.16
18	34	23.01	1.20
18	35	1.97	1.20
18	36	25.29	1.26
18	37	2.93	1.26
18	38	29.22	0.80
18	39	2.06	0.80
18	40	43.43	0.72
18	41	1.72	0.72
18	42	32.41	0.80
18	43	1.47	0.80
18	44	20.21	1.32
18	45	1.22	1.32
18	46	35.60	0.87
18	47	1.01	0.87
18	48	41.01	0.73
18	49	1.43	0.73
18	50	37.30	0.75
18	51	2.13	0.75
18	52	19.62	1.36
18	53	1.67	1.36
18	54	25.65	1.13
18	55	2.66	1.13
18	56	42.44	0.71
18	57	1.10	0.71
18	58	27.13	1.13
18	59	2.59	1.13
19	4	20.86	1.12
19	5	1.80	1.12
19	6	24.34	1.04
19	7	2.86	1.04
19	8	39.78	0.52
19	9	1.28	0.52
19	10	24.15	0.87
19	11	1.86	0.87
19	12	23.67	0.99
19	13	2.54	0.99
19	14	33.31	1.07
19	15	3.58	1.07
19	16	22.19	1.06
19	17	3.11	1.06
19	18	28.52	0.85
19	19	2.53	0.85
19	20	20.53	1.29
19	21	3.00	1.29
19	22	20.70	1.10
19	23	3.13	1.10
19	24	39.39	0.66
19	25	2.08	0.66
19	26	34.61	0.77
19	27	1.52	0.77
19	28	23.22	0.60
19	29	1.66	0.60
19	30	26.13	0.51
19	31	0.85	0.51
19	32	26.47	0.84
19	33	1.99	0.84
19	34	31.64	1.12
19	35	3.53	1.12
19	36	24.85	0.97
19	37	2.31	0.97
19	38	-1.00	-1.00
19	39	-1.00	-1.00
19	40	33.65	0.70
19	41	1.66	0.70
19	42	-1.00	-1.00
19	43	-1.00	-1.00
19	44	31.97	0.82
19	45	5.27	0.82
19	46	39.29	0.74
19	47	2.69	0.74
19	48	37.43	0.26
19	49	2.06	0.26
19	50	21.29	1.06
19	51	3.47	1.06
19	52	25.43	0.94
19	53	3.20	0.94
19	54	25.34	0.92
19	55	2.35	0.92
19	56	27.86	0.84
19	57	1.96	0.84
19	58	44.89	0.54
19	59	3.25	0.54
20	4	25.45	1.10
20	5	2.20	1.10
20	6	32.59	0.84
20	7	1.48	0.84
20	8	32.27	0.73
20	9	1.80	0.73
20	10	24.24	0.97
20	11	3.24	0.97
20	12	40.67	0.66
20	13	2.54	0.66
20	14	50.11	0.94
20	15	2.43	0.94
20	16	22.96	1.19
20	17	2.94	1.19
20	18	26.66	0.90
20	19	4.03	0.90
20	20	25.59	1.08
20	21	2.26	1.08
20	22	29.81	0.89
20	23	3.21	0.89
20	24	31.01	1.05
20	25	2.83	1.05
20	26	28.80	1.06
20	27	2.68	1.06
20	28	34.75	0.40
20	29	1.55	0.40
20	30	44.92	0.64
20	31	1.95	0.64
20	32	40.02	0.62
20	33	3.45	0.62
20	36	28.90	0.94
20	37	2.93	0.94
20	40	28.56	0.88
20	41	2.39	0.88
20	44	59.20	0.45
20	45	2.22	0.45
20	48	62.72	0.55
20	49	4.11	0.55
20	52	76.75	0.37
20	53	4.18	0.37
20	56	27.37	1.01
20	57	4.30	1.01
21	6	31.29	0.97
21	7	2.17	0.97
21	10	26.77	0.97
21	11	2.52	0.97
21	14	28.57	0.90
21	15	2.21	0.90
21	18	29.95	0.92
21	19	3.48	0.92
21	22	45.32	0.58
21	23	1.36	0.58
21	26	69.70	0.24
21	27	1.23	0.24
21	30	51.20	0.61
21	31	3.45	0.61
21	32	25.92	0.98
21	33	2.17	0.98
21	34	26.43	0.95
21	35	1.99	0.95
21	36	36.26	0.65
21	37	3.45	0.65
21	38	30.17	0.87
21	39	2.24	0.87
21	40	45.87	0.54
21	41	2.53	0.54
21	42	34.15	0.74
21	43	2.48	0.74
21	44	37.38	0.72
21	45	2.48	0.72
21	46	37.37	0.79
21	47	2.26	0.79
21	48	35.30	0.86
21	49	2.72	0.86
21	50	47.53	0.68
21	51	2.64	0.68
21	52	43.14	0.70
21	53	2.22	0.70
21	54	24.78	1.17
21	55	3.81	1.17
21	56	40.07	0.63
21	57	2.45	0.63
21	58	59.13	0.42
21	59	2.27	0.42
22	6	31.50	0.79
22	7	3.66	0.79
22	10	27.16	0.85
22	11	1.89	0.85
22	14	26.33	0.89
22	15	2.42	0.89
22	18	23.84	0.99
22	19	2.35	0.99
22	22	27.22	0.88
22	23	1.83	0.88
22	26	30.89	0.85
22	27	3.19	0.85
22	30	44.75	0.59
22	31	3.34	0.59
22	32	21.21	1.09
