cl	ch	pe	sens
11	51	1.01	1.18
11	52	-1.00	-1.00
11	53	-1.00	-1.00
11	54	27.14	1.20
11	55	1.79	1.20
11	56	40.64	1.12
11	57	3.83	1.12
11	58	26.82	0.99
11	59	1.80	0.99
12	4	28.96	1.41
12	5	2.36	1.41
12	6	37.67	1.32
12	7	3.69	1.32
12	8	26.43	0.96
12	9	1.87	0.96
12	10	17.64	1.11
12	11	1.25	1.11
12	12	20.39	1.29
12	13	1.59	1.29
12	14	18.84	1.05
12	15	1.32	1.05
12	16	26.06	0.90
12	17	1.82	0.90
12	18	21.01	1.35
12	19	1.49	1.35
12	20	31.20	0.80
12	21	2.55	0.80
12	22	19.97	1.24
12	23	1.44	1.24
12	24	30.27	0.98
12	25	2.75	0.98
12	26	30.00	0.72
12	27	1.82	0.72
12	28	17.50	0.75
12	29	0.31	0.75
12	30	26.50	0.93
12	31	1.56	0.93
12	32	23.19	1.21
12	33	1.66	1.21
12	34	24.14	1.05
12	35	1.75	1.05
12	36	35.91	1.24
12	37	4.21	1.24
12	38	40.31	0.50
12	39	1.24	0.50
12	40	24.80	1.36
12	41	1.58	1.36
12	42	23.92	1.17
12	43	1.58	1.17
12	44	35.04	0.52
12	45	2.17	0.52
12	46	28.45	1.22
12	47	1.69	1.22
12	48	33.13	0.40
12	49	0.79	0.40
12	50	21.28	0.98
12	51	1.85	0.98
12	52	33.13	0.68
12	53	1.76	0.68
12	54	28.10	0.88
12	55	1.31	0.88
12	56	29.79	1.28
12	57	3.25	1.28
12	58	30.61	0.90
12	59	2.48	0.90
13	4	29.69	0.89
13	5	2.01	0.89
13	6	17.54	1.00
13	7	1.26	1.00
13	8	27.87	0.87
13	9	2.45	0.87
13	10	23.20	0.80
13	11	2.11	0.80
13	12	23.76	1.18
13	13	1.92	1.18
13	14	23.64	1.23
13	15	1.44	1.23
13	16	19.82	1.18
13	17	1.38	1.18
13	18	22.28	1.05
13	19	1.95	1.05
13	20	23.45	0.97
13	21	1.14	0.97
13	22	20.23	1.01
13	23	1.86	1.01
13	24	21.08	0.68
13	25	1.23	0.68
13	26	21.62	1.19
13	27	1.34	1.19
13	28	27.33	0.87
13	29	2.81	0.87
13	30	23.44	0.96
13	31	1.30	0.96
13	32	20.97	0.92
13	33	1.80	0.92
13	34	23.67	1.31
13	35	1.70	1.31
13	36	26.03	1.02
13	37	2.22	1.02
13	38	30.42	1.29
13	39	3.13	1.29
13	40	25.07	0.82
13	41	1.75	0.82
13	42	25.41	1.18
13	43	2.40	1.18
13	44	25.87	0.87
13	45	2.22	0.87
13	46	21.11	0.86
13	47	1.50	0.86
13	48	22.57	0.99
13	49	2.03	0.99
13	50	21.58	0.82
13	51	1.35	0.82
13	52	26.60	1.03
13	53	1.74	1.03
13	54	22.46	1.18
13	55	1.64	1.18
13	56	23.55	0.80
13	57	1.73	0.80
13	58	17.23	1.29
13	59	0.91	1.29
14	2	20.33	1.15
14	3	2.20	1.15
14	4	33.14	1.14
14	5	3.26	1.14
14	6	26.87	0.78
14	7	2.38	0.78
14	8	27.81	0.61
14	9	1.44	0.61
